月份別(Month),即期(Spot),遠期(Forwards),換匯(Swap),外匯交易量合計(Turnover of foreign exchange trading),期貨(Futures),選擇權(Options),交換(Swaps),遠期契約(Forward contracts),外幣保證金交易(Margin account trading),信用衍生商品(Credit derivatives),衍生性金融商品交易量合計(Turnover of derivative products trading)
200701,4924,1936,2293,9153,10233,7085,195,0,124,63,17700
200702,3447,2176,1700,7323,17246,4263,353,0,122,30,22014
200703,5888,2330,2978,11196,20352,7964,365,0,284,96,29061
200704,4784,2702,1902,9388,11233,6803,195,0,76,314,18621
200705,5087,3032,1258,9377,7517,5914,261,0,51,30,13773
200706,5574,2081,1387,9042,11866,7114,130,0,83,235,19428
200707,5523,1861,1745,9129,14565,10628,297,0,407,1009,26906
200708,6584,1953,2518,11055,22497,9674,446,0,602,859,34078
200709,5093,2398,1629,9120,12076,6553,215,0,110,578,19532
200710,5582,2261,1950,9793,16742,7941,326,0,140,250,25399
200711,8180,2595,2295,13070,21822,10816,185,3,299,680,33805
200712,6234,1645,2293,10172,10573,7412,121,0,268,39,18413
200801,7480,2873,2329,12682,25151,12643,117,0,304,106,38321
200802,5385,2703,1656,9744,17007,8699,213,0,121,140,26180
200803,7524,2173,2246,11943,18204,10536,114,0,398,125,29377
200804,10101,2878,2057,15036,11577,11621,228,0,366,391,24183
200805,8650,3174,2077,13901,13479,12564,92,0,166,632,26933
200806,10098,3475,1924,15497,14501,13961,145,0,124,832,29563
200807,9948,3270,2233,15451,15114,13109,682,0,190,157,29252
200808,11006,2268,1913,15187,13601,11012,569,0,186,322,25690
200809,12490,3893,2768,19151,14909,9326,305,9,536,251,25336
200810,11408,5516,3598,20522,13180,6607,241,21,225,234,20508
200811,7244,2697,2340,12281,8507,4070,298,1,154,62,13092
200812,6455,2650,2106,11211,10025,4125,597,10,60,100,14917
200901,4647,1502,1668,7817,14692,4507,104,0,47,182,19532
200902,5902,1817,1753,9472,20555,7278,121,12,87,108,28161
200903,8073,2608,2371,13052,26109,6308,279,26,195,278,33195
200904,7739,3035,2284,13058,17273,6711,310,20,72,110,24496
200905,6217,3699,2092,12008,18596,6246,554,11,91,85,25583
200906,8478,2649,2601,13728,22808,8383,891,1,116,114,32313
200907,8698,3238,3365,15301,15338,9134,199,17,91,397,25176
200908,7298,3236,3631,14165,15054,9151,288,7,83,312,24895
200909,7408,4579,3329,15316,11288,9363,412,0,87,279,21429
200910,7833,3879,3190,14902,20942,10155,567,1,122,689,32476
200911,7674,3810,2831,14315,16616,10638,243,42,127,370,28036
200912,8700,2604,3124,14428,10100,7672,374,12,71,303,18532
201001,7479,5309,3351,16139,20103,10049,568,24,60,1302,32106
201002,6098,3374,3510,12982,19287,8627,716,22,72,1908,30632
201003,8238,4530,3029,15797,25027,9645,745,14,66,609,36106
201004,9559,5329,2634,17522,26438,9511,238,33,115,1185,37520
201005,10916,4025,3165,18106,34667,10126,203,31,143,1671,46841
201006,10451,3829,2396,16676,24075,9428,308,45,50,631,34537
201007,10122,3119,2337,15578,26306,9710,365,23,51,434,36889
201008,9530,3753,2523,15806,42735,10949,474,11,29,649,54847
201009,9576,5843,3191,18610,52849,8810,496,21,23,754,62953
201010,9010,4718,3605,17333,49913,9193,792,22,27,631,60578
201011,9935,3467,3649,17051,40169,10297,269,7,59,446,51247
201012,8051,3166,3945,15162,32426,8129,838,7,49,99,41548
201101,11078,5032,4302,20412,33619,13665,1445,0,40,620,49389
201102,8623,2832,3017,14472,30671,11214,842,0,44,189,42960
201103,14249,5491,4410,24150,27007,16958,1637,23,71,424,46120
201104,11621,8487,4619,24727,20022,15152,990,20,66,157,36407
201105,10672,5817,5103,21592,22760,15883,1661,1,74,340,40719
201106,10803,5412,4394,20609,27279,19985,1259,14,64,543,49144
201107,10659,6378,3798,20835,20263,18906,1096,10,66,896,41237
201108,14056,7252,4189,25497,18818,17951,1274,19,159,433,38654
201109,13101,9072,4008,26181,19817,15841,390,23,88,596,36755
201110,15380,9391,4824,29595,13228,16112,357,13,49,350,30109
201111,12475,5956,4185,22616,16625,16510,190,6,66,549,33946
201112,9156,5967,3976,19099,12006,12079,118,1,45,99,24348
201201,10218,7737,3171,21126,9510,19912,821,0,59,213,30515
201202,13093,8337,5044,26474,12012,19835,590,25,95,387,32944
201203,15253,7866,5695,28814,14697,22890,828,2,113,290,38820
201204,14874,8829,5919,29622,10525,18940,556,7,100,148,30276
201205,21016,9687,6699,37402,13360,24979,375,7,62,349,39132
201206,18033,8234,5762,32029,12055,18596,853,1,102,163,31770
201207,15122,8948,7001,31071,10138,20723,344,0,47,44,31296
201208,15589,7809,8176,31574,11721,22603,370,4,35,66,34799
201209,16955,9377,8227,34559,19725,21130,370,16,49,64,41354
201210,19736,8445,8300,36481,12741,26484,557,18,57,171,40028
201211,17907,7908,10311,36126,11667,23860,443,0,49,217,36236
201212,15583,6162,9031,30776,7943,14344,166,0,48,133,22634
201301,22853,8464,15304,46621,9364,60785,1038,3,165,389,71744
201302,17910,5482,10624,34016,6727,37692,462,13,121,47,45062
201303,20699,6902,12038,39639,9025,45289,827,1,129,132,55403
201304,24740,7415,10188,42343,12009,52186,704,2,110,89,65100
201305,26470,8995,11788,47253,16213,75716,1481,27,107,151,93695
201306,23942,7157,9360,40459,9828,44702,1167,8,195,356,56256
201307,22385,6963,10048,39396,8856,46716,1146,18,162,96,56994
201308,23494,8600,9389,41483,12382,56911,752,0,189,56,70290
201309,19895,7777,8447,36119,10128,64957,1370,6,102,64,76627
201310,23332,6727,6875,36934,10176,64116,1040,0,61,12,75405
201311,23128,7829,7336,38293,7940,54709,815,0,46,30,63540
201312,20805,5345,7501,33651,6547,36492,636,7,84,94,43860
201401,27392,6788,13585,47765,8776,185910,1035,6,104,187,196018
201402,24906,5985,13490,44381,8043,98684,803,2,42,49,107623
201403,29288,7973,16312,53573,16889,57500,1250,106,36,96,75877
201404,24841,7479,11482,43802,10655,42247,1010,3,42,69,54026
201405,27221,6154,11349,44724,12562,21847,1959,0,32,86,36486
201406,30919,5296,9221,45436,11405,33407,2515,6,23,51,47407
201407,30936,6623,9999,47558,15129,52501,1374,0,25,100,69129
201408,30720,6020,8059,44799,8609,60624,2410,0,31,179,71853
201409,34440,8051,10046,52537,13943,76996,4547,0,30,41,95557
